# q=  0.10000000E-02  0.00000000E+00  0.00000000E+00  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.62004104E-07     -0.26041462E-06     -0.70543888E-04     -0.76525724E-02
       2     -0.12498817E-06     -0.26041462E-06     -0.13875125E-03     -0.76525724E-02
       3     -0.15121365E-06     -0.26041462E-06     -0.21867112E-03     -0.76525724E-02
       4     -0.17452355E-06     -0.26041462E-06     -0.29608013E-03     -0.76525724E-02
       5     -0.19422795E-06     -0.26041462E-06     -0.37831713E-03     -0.76525724E-02
       6     -0.21271286E-06     -0.26041462E-06     -0.46158684E-03     -0.76525724E-02
       7     -0.21929785E-06     -0.26041462E-06     -0.55425122E-03     -0.76525724E-02
       8     -0.22584348E-06     -0.26041462E-06     -0.64601098E-03     -0.76525724E-02
       9     -0.23071479E-06     -0.26041462E-06     -0.66690416E-03     -0.76525724E-02
      10     -0.23522937E-06     -0.26041462E-06     -0.68763185E-03     -0.76525724E-02
      11     -0.23644845E-06     -0.26041462E-06     -0.69906701E-03     -0.76525724E-02
      12     -0.23757286E-06     -0.26041462E-06     -0.71030381E-03     -0.76525724E-02
      13     -0.23911484E-06     -0.26041462E-06     -0.71964978E-03     -0.76525724E-02
      14     -0.24060469E-06     -0.26041462E-06     -0.72878707E-03     -0.76525724E-02
      15     -0.24227835E-06     -0.26041462E-06     -0.74050970E-03     -0.76525724E-02
      16     -0.24394492E-06     -0.26041462E-06     -0.75234697E-03     -0.76525724E-02
      17     -0.24475693E-06     -0.26041462E-06     -0.75781350E-03     -0.76525724E-02
      18     -0.24557651E-06     -0.26041462E-06     -0.76307889E-03     -0.76525724E-02
      19     -0.24652849E-06     -0.26041462E-06     -0.77170879E-03     -0.76525724E-02
      20     -0.24742160E-06     -0.26041462E-06     -0.78053509E-03     -0.76525724E-02
      21     -0.24862195E-06     -0.26041462E-06     -0.79042652E-03     -0.76525724E-02
      22     -0.24981280E-06     -0.26041462E-06     -0.80034831E-03     -0.76525724E-02
      23     -0.25087813E-06     -0.26041462E-06     -0.80990025E-03     -0.76525724E-02
      24     -0.25196240E-06     -0.26041462E-06     -0.82000576E-03     -0.76525724E-02
      25     -0.25232974E-06     -0.26041462E-06     -0.82749207E-03     -0.76525724E-02
      26     -0.25264858E-06     -0.26041462E-06     -0.83483626E-03     -0.76525724E-02
      27     -0.25318067E-06     -0.26041462E-06     -0.84366133E-03     -0.76525724E-02
      28     -0.25372061E-06     -0.26041462E-06     -0.85277356E-03     -0.76525724E-02
      29     -0.25414188E-06     -0.26041462E-06     -0.86144200E-03     -0.76525724E-02
      30     -0.25460073E-06     -0.26041462E-06     -0.87007520E-03     -0.76525724E-02
      31     -0.25488521E-06     -0.26041462E-06     -0.87736655E-03     -0.76525724E-02
      32     -0.25515352E-06     -0.26041462E-06     -0.88536743E-03     -0.76525724E-02
      33     -0.25541300E-06     -0.26041462E-06     -0.89530175E-03     -0.76525724E-02
      34     -0.25567471E-06     -0.26041462E-06     -0.90544834E-03     -0.76525724E-02
      35     -0.25594000E-06     -0.26041462E-06     -0.91207413E-03     -0.76525724E-02
      36     -0.25619821E-06     -0.26041462E-06     -0.91877421E-03     -0.76525724E-02
      37     -0.25633090E-06     -0.26041462E-06     -0.92453364E-03     -0.76525724E-02
      38     -0.25647032E-06     -0.26041462E-06     -0.93055403E-03     -0.76525724E-02
      39     -0.25659916E-06     -0.26041462E-06     -0.93638894E-03     -0.76525724E-02
      40     -0.25672287E-06     -0.26041462E-06     -0.94224168E-03     -0.76525724E-02
      41     -0.25683230E-06     -0.26041462E-06     -0.94708723E-03     -0.76525724E-02
      42     -0.25693116E-06     -0.26041462E-06     -0.95170785E-03     -0.76525724E-02
      43     -0.25704939E-06     -0.26041462E-06     -0.95809896E-03     -0.76525724E-02
      44     -0.25716820E-06     -0.26041462E-06     -0.96488371E-03     -0.76525724E-02
      45     -0.25726759E-06     -0.26041462E-06     -0.96985616E-03     -0.76525724E-02
      46     -0.25736257E-06     -0.26041462E-06     -0.97482495E-03     -0.76525724E-02
      47     -0.25743141E-06     -0.26041462E-06     -0.97934449E-03     -0.76525724E-02
      48     -0.25749353E-06     -0.26041462E-06     -0.98393983E-03     -0.76525724E-02
      49     -0.25756913E-06     -0.26041462E-06     -0.98842408E-03     -0.76525724E-02
      50     -0.25764534E-06     -0.26041462E-06     -0.99293960E-03     -0.76525724E-02
      51     -0.25768949E-06     -0.26041462E-06     -0.99677095E-03     -0.76525724E-02
      52     -0.25773098E-06     -0.26041462E-06     -0.10005374E-02     -0.76525724E-02
      53     -0.25779212E-06     -0.26041462E-06     -0.10041071E-02     -0.76525724E-02
      54     -0.25785392E-06     -0.26041462E-06     -0.10077017E-02     -0.76525724E-02
      55     -0.25789427E-06     -0.26041462E-06     -0.10114393E-02     -0.76525724E-02
      56     -0.25793328E-06     -0.26041462E-06     -0.10151802E-02     -0.76525724E-02
      57     -0.25796768E-06     -0.26041462E-06     -0.10187176E-02     -0.76525724E-02
      58     -0.25800215E-06     -0.26041462E-06     -0.10222552E-02     -0.76525724E-02
      59     -0.25804318E-06     -0.26041462E-06     -0.10259430E-02     -0.76525724E-02
      60     -0.25808340E-06     -0.26041462E-06     -0.10296909E-02     -0.76525724E-02
      61     -0.25811476E-06     -0.26041462E-06     -0.10333044E-02     -0.76525724E-02
      62     -0.25814732E-06     -0.26041462E-06     -0.10369814E-02     -0.76525724E-02
      63     -0.25818100E-06     -0.26041462E-06     -0.10405605E-02     -0.76525724E-02
      64     -0.25821261E-06     -0.26041462E-06     -0.10442305E-02     -0.76525724E-02
      65     -0.25824140E-06     -0.26041462E-06     -0.10480321E-02     -0.76525724E-02
      66     -0.25826997E-06     -0.26041462E-06     -0.10518053E-02     -0.76525724E-02
      67     -0.25830318E-06     -0.26041462E-06     -0.10559940E-02     -0.76525724E-02
      68     -0.25833621E-06     -0.26041462E-06     -0.10601906E-02     -0.76525724E-02
      69     -0.25835961E-06     -0.26041462E-06     -0.10639855E-02     -0.76525724E-02
      70     -0.25838301E-06     -0.26041462E-06     -0.10678118E-02     -0.76525724E-02
      71     -0.25840842E-06     -0.26041462E-06     -0.10715454E-02     -0.76525724E-02
      72     -0.25843280E-06     -0.26041462E-06     -0.10752441E-02     -0.76525724E-02
      73     -0.25844927E-06     -0.26041462E-06     -0.10790996E-02     -0.76525724E-02
      74     -0.25846576E-06     -0.26041462E-06     -0.10831070E-02     -0.76525724E-02
      75     -0.25848992E-06     -0.26041462E-06     -0.10872722E-02     -0.76525724E-02
      76     -0.25851400E-06     -0.26041462E-06     -0.10914387E-02     -0.76525724E-02
      77     -0.25852843E-06     -0.26041462E-06     -0.10948753E-02     -0.76525724E-02
      78     -0.25854277E-06     -0.26041462E-06     -0.10983114E-02     -0.76525724E-02
      79     -0.25856374E-06     -0.26041462E-06     -0.11023113E-02     -0.76525724E-02
