# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      33     0.00000     0.00000     0.00000   -1.007415359   -2.630965723   -1.623550364
     1      33     0.01113     0.01927     0.00000   -1.024934518   -2.682195303   -1.657260785
     1      33     0.02226     0.03855     0.00000   -1.073980890   -2.757421879   -1.683440989
     1      33     0.03338     0.05782     0.00000   -1.144446022   -2.857543129   -1.713097107
     1      33     0.04451     0.07710     0.00000   -1.217957469   -2.961776604   -1.743819135
     1      33     0.05564     0.09637     0.00000   -1.256855901   -3.040708333   -1.783852432
     1      33     0.06677     0.11564     0.00000   -1.245260931   -3.051547962   -1.806287031
     1      33     0.07789     0.13492     0.00000   -1.210481249   -3.009473344   -1.798992095
     1      33     0.08902     0.15419     0.00000   -1.168443684   -2.952627571   -1.784183886
     1      33     0.10015     0.17347     0.00000   -1.156426201   -2.930726415   -1.774300214
     1      33     0.11128     0.19274     0.00000   -1.325579445   -3.100600686   -1.775021241
     1      33     0.12241     0.21201     0.00000   -1.503396047   -3.278326128   -1.774930081
     1      33     0.13353     0.23129     0.00000   -1.683819078   -3.506710617   -1.822891539
     1      33     0.14466     0.25056     0.00000   -1.876610523   -3.706698917   -1.830088395
     1      33     0.15579     0.26983     0.00000   -2.046521935   -3.887358524   -1.840836589
     1      33     0.16692     0.28911     0.00000   -2.181057328   -4.034647769   -1.853590440
     1      33     0.17804     0.30838     0.00000   -2.278816218   -4.122980364   -1.844164146
     1      33     0.18917     0.32766     0.00000   -2.347884354   -4.182838025   -1.834953671
     1      33     0.20030     0.34693     0.00000   -2.396164630   -4.217619630   -1.821455001
     1      33     0.21143     0.36620     0.00000   -2.428552510   -4.236136379   -1.807583869
     1      33     0.22256     0.38548     0.00000   -2.448022182   -4.238447330   -1.790425148
     1      33     0.23368     0.40475     0.00000   -2.456759074   -4.228497640   -1.771738565
     1      33     0.24481     0.42403     0.00000   -2.456933176   -4.207014090   -1.750080914
     1      33     0.25594     0.44330     0.00000   -2.459582164   -4.138599721   -1.679017557
     1      33     0.26707     0.46257     0.00000   -2.556677118   -4.202141782   -1.645464664
     1      33     0.27819     0.48185     0.00000   -2.638697841   -4.293241954   -1.654544114
     1      33     0.28932     0.50112     0.00000   -2.679947926   -4.367010702   -1.687062776
     1      33     0.30045     0.52040     0.00000   -2.710142475   -4.399809265   -1.689666790
     1      33     0.31158     0.53967     0.00000   -2.750916209   -4.466731985   -1.715815777
     1      33     0.32271     0.55894     0.00000   -2.769964430   -4.504036586   -1.734072156
     1      33     0.33383     0.57822     0.00000   -2.776183066   -4.528947697   -1.752764631
     1      33     0.33940     0.56858     0.00000   -2.774259991   -4.517224070   -1.742964078
     1      33     0.34496     0.55894     0.00000   -2.767483931   -4.501003519   -1.733519588
     1      33     0.35053     0.54931     0.00000   -2.753598992   -4.478106237   -1.724507245
     1      33     0.35609     0.53967     0.00000   -2.729267199   -4.442022620   -1.712755421
     1      33     0.36165     0.53003     0.00000   -2.690511390   -4.381916827   -1.691405436
     1      33     0.36722     0.52040     0.00000   -2.657647373   -4.342688777   -1.685041404
     1      33     0.37278     0.51076     0.00000   -2.628216900   -4.296872942   -1.668656042
     1      33     0.37835     0.50112     0.00000   -2.585129252   -4.241644418   -1.656515165
     1      33     0.38391     0.49148     0.00000   -2.527957500   -4.176083706   -1.648126206
     1      33     0.38947     0.48185     0.00000   -2.460245173   -4.099649679   -1.639404506
     1      33     0.39504     0.47221     0.00000   -2.389669707   -4.020513631   -1.630843924
     1      33     0.40060     0.46257     0.00000   -2.326687808   -3.970780457   -1.644092648
     1      33     0.40616     0.45294     0.00000   -2.314971734   -4.038431877   -1.723460143
     1      33     0.41173     0.44330     0.00000   -2.301408628   -4.037816237   -1.736407609
     1      33     0.41729     0.43366     0.00000   -2.285492726   -4.035289765   -1.749797039
     1      33     0.42286     0.42403     0.00000   -2.267368298   -4.028470594   -1.761102297
     1      33     0.42842     0.41439     0.00000   -2.247261099   -4.020412836   -1.773151737
     1      33     0.43398     0.40475     0.00000   -2.225475548   -4.011336711   -1.785861162
     1      33     0.43955     0.39512     0.00000   -2.202389638   -4.000274423   -1.797884785
     1      33     0.44511     0.38548     0.00000   -2.178447557   -3.985306145   -1.806858587
     1      33     0.45068     0.37584     0.00000   -2.154150007   -3.970878607   -1.816728600
     1      33     0.45624     0.36620     0.00000   -2.130042051   -3.957492529   -1.827450477
     1      33     0.46180     0.35657     0.00000   -2.106698572   -3.942167271   -1.835468698
     1      33     0.46737     0.34693     0.00000   -2.084706561   -3.925733504   -1.841026943
     1      33     0.47293     0.33729     0.00000   -2.064644052   -3.912365741   -1.847721688
     1      33     0.47850     0.32766     0.00000   -2.047055939   -3.902597610   -1.855541671
     1      33     0.48406     0.31802     0.00000   -2.032426855   -3.889029772   -1.856602917
     1      33     0.48962     0.30838     0.00000   -2.021153823   -3.877503364   -1.856349541
     1      33     0.49519     0.29875     0.00000   -2.013520922   -3.870943147   -1.857422225
     1      33     0.50075     0.28911     0.00000   -2.009680301   -3.869493872   -1.859813571
     1      33     0.50631     0.27947     0.00000   -2.013520922   -3.870943147   -1.857422225
     1      33     0.51188     0.26983     0.00000   -2.021153823   -3.877503364   -1.856349541
     1      33     0.51744     0.26020     0.00000   -2.032426855   -3.889029772   -1.856602917
     1      33     0.52301     0.25056     0.00000   -2.047055939   -3.902597610   -1.855541671
     1      33     0.52857     0.24092     0.00000   -2.064644052   -3.912365741   -1.847721688
     1      33     0.53413     0.23129     0.00000   -2.084706561   -3.925733504   -1.841026943
     1      33     0.53970     0.22165     0.00000   -2.106698572   -3.942167271   -1.835468698
     1      33     0.54526     0.21201     0.00000   -2.130042051   -3.957492529   -1.827450477
     1      33     0.55083     0.20238     0.00000   -2.154150007   -3.970878607   -1.816728600
     1      33     0.55639     0.19274     0.00000   -2.178447557   -3.985306145   -1.806858587
     1      33     0.56195     0.18310     0.00000   -2.202389638   -4.000274423   -1.797884785
     1      33     0.56752     0.17347     0.00000   -2.225475548   -4.011336711   -1.785861162
     1      33     0.57308     0.16383     0.00000   -2.247261099   -4.020412836   -1.773151737
     1      33     0.57865     0.15419     0.00000   -2.267368298   -4.028470594   -1.761102297
     1      33     0.58421     0.14455     0.00000   -2.285492726   -4.035289765   -1.749797040
     1      33     0.58977     0.13492     0.00000   -2.301408628   -4.037816237   -1.736407609
     1      33     0.59534     0.12528     0.00000   -2.314971734   -4.038431877   -1.723460143
     1      33     0.60090     0.11564     0.00000   -2.326687808   -3.970780457   -1.644092648
     1      33     0.60646     0.10601     0.00000   -2.389669707   -4.020513631   -1.630843924
     1      33     0.61203     0.09637     0.00000   -2.460245173   -4.099649679   -1.639404506
     1      33     0.61759     0.08673     0.00000   -2.527957500   -4.176083706   -1.648126206
     1      33     0.62316     0.07710     0.00000   -2.585129252   -4.241644418   -1.656515165
