 -------  Norm of dcc matrices : Spins =            1  -------
           k-point           ik_co    c   dist    |dcc|^2      
---------------------------------------------------------------
 (  0.000 ,  0.000 ,  0.000 )    1    1  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    2  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    3  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    4  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    5  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    6  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    7  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    8  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1    9  0.000   1.000000
 (  0.000 ,  0.000 ,  0.000 )    1   10  0.000   1.000000
 (  0.011 ,  0.011 ,  0.000 )    1    1  0.022   0.996498
 (  0.011 ,  0.011 ,  0.000 )    1    2  0.022   0.996677
 (  0.011 ,  0.011 ,  0.000 )    1    3  0.022   0.996237
 (  0.011 ,  0.011 ,  0.000 )    1    4  0.022   0.996495
 (  0.011 ,  0.011 ,  0.000 )    1    5  0.022   0.997013
 (  0.011 ,  0.011 ,  0.000 )    1    6  0.022   0.997210
 (  0.011 ,  0.011 ,  0.000 )    1    7  0.022   0.996501
 (  0.011 ,  0.011 ,  0.000 )    1    8  0.022   0.996606
 (  0.011 ,  0.011 ,  0.000 )    1    9  0.022   0.998625
 (  0.011 ,  0.011 ,  0.000 )    1   10  0.022   0.998607
 (  0.022 ,  0.022 ,  0.000 )    2    1  0.024   0.997674
 (  0.022 ,  0.022 ,  0.000 )    2    2  0.024   0.997209
 (  0.022 ,  0.022 ,  0.000 )    2    3  0.024   0.996223
 (  0.022 ,  0.022 ,  0.000 )    2    4  0.024   0.995614
 (  0.022 ,  0.022 ,  0.000 )    2    5  0.024   0.996314
 (  0.022 ,  0.022 ,  0.000 )    2    6  0.024   0.995655
 (  0.022 ,  0.022 ,  0.000 )    2    7  0.024   0.995418
 (  0.022 ,  0.022 ,  0.000 )    2    8  0.024   0.994935
 (  0.022 ,  0.022 ,  0.000 )    2    9  0.024   0.998710
 (  0.022 ,  0.022 ,  0.000 )    2   10  0.024   0.998724
 (  0.033 ,  0.033 ,  0.000 )   71    1  0.017   0.998149
 (  0.033 ,  0.033 ,  0.000 )   71    2  0.017   0.998185
 (  0.033 ,  0.033 ,  0.000 )   71    3  0.017   0.998651
 (  0.033 ,  0.033 ,  0.000 )   71    4  0.017   0.998415
 (  0.033 ,  0.033 ,  0.000 )   71    5  0.017   0.998925
 (  0.033 ,  0.033 ,  0.000 )   71    6  0.017   0.998951
 (  0.033 ,  0.033 ,  0.000 )   71    7  0.017   0.998721
 (  0.033 ,  0.033 ,  0.000 )   71    8  0.017   0.999081
 (  0.033 ,  0.033 ,  0.000 )   71    9  0.017   0.996616
 (  0.033 ,  0.033 ,  0.000 )   71   10  0.017   0.996568
 (  0.044 ,  0.044 ,  0.000 )   71    1  0.006   0.999806
 (  0.044 ,  0.044 ,  0.000 )   71    2  0.006   0.999809
 (  0.044 ,  0.044 ,  0.000 )   71    3  0.006   0.999834
 (  0.044 ,  0.044 ,  0.000 )   71    4  0.006   0.999842
 (  0.044 ,  0.044 ,  0.000 )   71    5  0.006   0.999878
 (  0.044 ,  0.044 ,  0.000 )   71    6  0.006   0.999893
 (  0.044 ,  0.044 ,  0.000 )   71    7  0.006   0.999891
 (  0.044 ,  0.044 ,  0.000 )   71    8  0.006   0.999922
 (  0.044 ,  0.044 ,  0.000 )   71    9  0.006   0.999621
 (  0.044 ,  0.044 ,  0.000 )   71   10  0.006   0.999616
 (  0.056 ,  0.056 ,  0.000 )   71    1  0.028   0.995861
 (  0.056 ,  0.056 ,  0.000 )   71    2  0.028   0.995683
 (  0.056 ,  0.056 ,  0.000 )   71    3  0.028   0.996162
 (  0.056 ,  0.056 ,  0.000 )   71    4  0.028   0.995936
 (  0.056 ,  0.056 ,  0.000 )   71    5  0.028   0.996819
 (  0.056 ,  0.056 ,  0.000 )   71    6  0.028   0.996877
 (  0.056 ,  0.056 ,  0.000 )   71    7  0.028   0.998202
 (  0.056 ,  0.056 ,  0.000 )   71    8  0.028   0.998342
